threshold,partition,runtime,num_communities,modularity,conductance
0.05,"[ 4  2  2  3 10  5  8  0 10  1  1  7  3  3  1  0  9  1  0  9  1  2  3 10
  1  7 10  9  8  3  4  4  5  6  3 10  8  8  4  0  7  3  1  6  9  4 10  1
  7  2  8  9  4  5  4  8  7  0  1  1  1  7  1  8 10 10  5  0  9  9  7  0
  6  0  0  4  0  7  9  9  7 10  5  6  7  0  8  4  3  4  4  7  5  5  8  8
  6  6  5  1  3  9  1  4  0 10 10  8  1  5 10  1  5  3  8  3 10  9  3  1
  9  7  0  8]",3.914405345916748,11,0.727675325533742,0.8085863730248757
0.06,"[8 4 6 8 3 5 4 9 2 4 2 7 6 7 0 8 2 4 2 9 7 3 9 3 8 1 7 9 3 6 2 4 0 4 7 7 6
 0 3 0 6 4 8 0 0 4 1 5 4 3 3 2 8 2 1 0 4 0 0 7 8 6 5 2 5 6 9 5 7 2 2 0 7 6
 8 3 1 2 6 9 4 1 9 4 4 5 9 8 1 6 4 8 1 3 1 5 4 2 0 9 5 7 5 2 5 2 0 2 5 1 8
 1 7 6]",3.2946388721466064,10,0.7964389837567803,0.7775896681503089
0.07,"[9 3 6 3 4 7 9 4 9 2 3 5 5 4 5 2 0 8 4 6 3 9 8 8 4 1 9 9 8 1 9 7 2 3 6 8 7
 3 6 4 5 0 1 4 1 0 9 8 3 2 9 2 5 1 8 5 1 1 5 7 7 4 1 2 1 7 6 2 6 6 2 6 8 9
 0 1 2 8 7 3 8 2 4 6 9 8 6 1 9 4 2 6 9 8 5 5 9 7 1 9 3 4 0 7 6 7 6]",3.2470409870147705,10,0.8222784057108877,0.7796861851598693
0.08,"[7 1 5 4 9 2 8 0 2 9 3 9 2 7 7 5 8 6 4 0 9 0 5 6 7 2 9 3 4 9 0 0 5 1 3 8 1
 8 9 4 2 2 2 9 3 1 7 9 7 2 1 5 9 4 0 5 2 7 4 9 1 0 3 0 9 2 6 4 5 9 6 2 0 0
 9 5 9 2 9 4 2 9 8 4 6 5 9 4 5 5 9 9 0 1 6 6 7 8 8 6]",3.301297903060913,10,0.8309183673469391,0.7564034331681391
0.09,"[2 2 3 4 2 6 2 3 4 8 2 1 2 4 7 8 6 7 1 8 4 5 5 0 1 8 2 1 3 4 4 3 1 4 1 6 1
 6 7 3 6 3 0 2 1 1 0 6 2 0 6 0 7 6 5 2 3 2 8 2 8 0 5 6 7 8 5 7 5 4 3 8 3 1
 0 6 3 4 7 6 5 6 7 4 8 8 5 7 3]",3.4702346324920654,9,0.8293593794886646,0.6776815776815776
0.1,"[1 3 2 1 5 3 7 1 6 4 6 1 4 7 3 2 3 6 3 6 1 2 5 3 4 6 3 1 6 6 0 6 3 6 1 3 6
 6 7 7 0 7 0 7 2 4 6 7 2 7 2 2 6 2 0 7 6 4 3 4 7 0 0 5 2 1 5 0 2 7 4 7 2 6
 4 7 2]",3.2713043689727783,8,0.8187934027777762,0.5620265151515151
0.11,"[6 5 0 7 3 6 5 7 2 2 3 5 3 2 4 7 5 1 6 1 1 0 4 0 6 1 5 1 2 0 7 2 0 4 1 0 6
 5 2 2 4 2 6 6 3 6 7 7 4 6 1 2 7 2 3 2 0 1 1 4 4 7 6 5 4 2 0 7]",2.945556640625,8,0.8613920285544242,0.641983016983017
0.12,"[4 6 5 0 4 3 5 4 4 0 6 6 6 4 3 0 4 0 4 0 2 4 0 2 2 4 0 0 2 1 3 1 5 1 0 2 3
 4 2 3 6 3 1 4 0 2 6 5 3 1 6 2 1 1 1 1 3 6 2 6 6]",3.9131574630737305,7,0.8440816326530622,0.6532967032967034
0.13,"[4 5 6 3 0 4 0 4 1 2 5 5 5 1 5 1 3 0 5 0 0 3 6 5 6 5 1 5 4 2 5 5 4 6 2 4 6
 4 4 6 0 0 2 4 3 1 4 2 0 5 5 6 6 4 2]",2.9799246788024902,7,0.8470343392299715,0.561317254174397
0.14,"[4 1 2 4 1 0 3 2 2 4 1 5 4 0 4 1 5 0 4 3 1 4 3 3 2 3 4 3 5 2 3 3 0 5 1 4 2
 5 5 5 3 0 2 1 2 3 2 1]",3.081055164337158,6,0.8106508875739655,0.5357744107744108
0.15,"[3 2 4 5 2 0 3 3 3 3 4 5 3 2 1 4 0 3 4 1 2 5 1 2 4 3 3 3 3 3 5 2 4 0 4 0 3
 5 3 3 3 1]",3.2266392707824707,6,0.7939508506616321,0.564892623716153
0.16,"[5 1 4 5 1 3 3 2 4 5 4 4 4 5 2 1 3 4 2 0 4 4 5 3 2 3 3 5 4 1 5 5 1 1 5 0 2
 1]",2.995772123336792,6,0.8027210884353687,0.5231120731120731
0.17,[2 4 4 0 3 1 1 2 2 4 0 1 3 0 3 3 1 1 3 1 4 1 2 0 4 1 4],3.035451889038086,5,0.7911111111111083,0.33333333333333337
0.18,[2 4 2 3 2 3 1 0 0 1 1 2 4 3 1 4 3 3 0 2 1 2 1 1 0 4],2.888688802719116,5,0.7857142857142859,0.2819047619047619
0.19,[0 3 4 2 0 1 3 4 0 2 2 3 4 2 3 4 1 3 1 4 1 3 2 1 3],2.9309866428375244,5,0.7810650887573952,0.3057142857142857
